Date, Open, High, Low, Close,0
2012-01-17,124.61,124.61,124.61,124.61,0.00,FTFeed
2012-01-16,124.48,124.48,124.48,124.48,0.00,FTFeed
2012-01-13,124.59,124.59,124.59,124.59,0.00,FTFeed
2012-01-12,124.23,124.23,124.23,124.23,0.00,FTFeed
2012-01-11,124.08,124.08,124.08,124.08,0.00,FTFeed
2012-01-10,123.82,123.82,123.82,123.82,0.00,FTFeed
2012-01-09,123.76,123.76,123.76,123.76,0.00,FTFeed
2012-01-06,123.59,123.59,123.59,123.59,0.00,FTFeed
2012-01-05,123.67,123.67,123.67,123.67,0.00,FTFeed
2012-01-04,123.51,123.51,123.51,123.51,0.00,FTFeed
2012-01-03,123.02,123.02,123.02,123.02,0.00,FTFeed
2011-12-30,122.99,122.99,122.99,122.99,0.00,FTFeed
2011-12-29,122.87,122.87,122.87,122.87,0.00,FTFeed
2011-12-28,122.5,122.5,122.5,122.5,0.00,FTFeed
2011-12-23,122.28,122.28,122.28,122.28,0.00,FTFeed
2011-12-22,122.01,122.01,122.01,122.01,0.00,FTFeed
2011-12-21,121.96,121.96,121.96,121.96,0.00,FTFeed
2011-12-20,121.49,121.49,121.49,121.49,0.00,FTFeed
2011-12-19,121.61,121.61,121.61,121.61,0.00,FTFeed
2011-12-16,121.5,121.5,121.5,121.5,0.00,FTFeed
2011-12-15,121.39,121.39,121.39,121.39,0.00,FTFeed
2011-12-14,121.5,121.5,121.5,121.5,0.00,FTFeed
2011-12-13,121.61,121.61,121.61,121.61,0.00,FTFeed
2011-12-12,121.96,121.96,121.96,121.96,0.00,FTFeed
2011-12-09,121.79,121.79,121.79,121.79,0.00,FTFeed
2011-12-08,122.13,122.13,122.13,122.13,0.00,FTFeed
2011-12-07,121.92,121.92,121.92,121.92,0.00,FTFeed
2011-12-06,121.42,121.42,121.42,121.42,0.00,FTFeed
2011-12-05,121.14,121.14,121.14,121.14,0.00,FTFeed
2011-12-02,120.69,120.69,120.69,120.69,0.00,FTFeed
2011-12-01,120.31,120.31,120.31,120.31,0.00,FTFeed
2011-11-30,119.96,119.96,119.96,119.96,0.00,FTFeed
2011-11-29,119.85,119.85,119.85,119.85,0.00,FTFeed
2011-11-28,119.24,119.24,119.24,119.24,0.00,FTFeed
2011-11-25,119.27,119.27,119.27,119.27,0.00,FTFeed
2011-11-24,119.62,119.62,119.62,119.62,0.00,FTFeed
2011-11-23,120.36,120.36,120.36,120.36,0.00,FTFeed
2011-11-22,120.83,120.83,120.83,120.83,0.00,FTFeed
2011-11-21,121.44,121.44,121.44,121.44,0.00,FTFeed
2011-11-18,121.33,121.33,121.33,121.33,0.00,FTFeed
2011-11-17,121.98,121.98,121.98,121.98,0.00,FTFeed
2011-11-16,122.35,122.35,122.35,122.35,0.00,FTFeed
2011-11-15,122.45,122.45,122.45,122.45,0.00,FTFeed
2011-11-14,122.52,122.52,122.52,122.52,0.00,FTFeed
2011-11-11,122.15,122.15,122.15,122.15,0.00,FTFeed
2011-11-10,122.18,122.18,122.18,122.18,0.00,FTFeed
2011-11-09,123.05,123.05,123.05,123.05,0.00,FTFeed
2011-11-08,122.85,122.85,122.85,122.85,0.00,FTFeed
2011-11-07,122.78,122.78,122.78,122.78,0.00,FTFeed
2011-11-04,122.9,122.9,122.9,122.9,0.00,FTFeed
2011-11-03,122.32,122.32,122.32,122.32,0.00,FTFeed
2011-11-02,122.23,122.23,122.23,122.23,0.00,FTFeed
2011-11-01,123,123,123,123,0.00,FTFeed
2011-10-31,123.39,123.39,123.39,123.39,0.00,FTFeed
2011-10-28,122.97,122.97,122.97,122.97,0.00,FTFeed
2011-10-27,121.98,121.98,121.98,121.98,0.00,FTFeed
2011-10-26,121.44,121.44,121.44,121.44,0.00,FTFeed
2011-10-25,121.14,121.14,121.14,121.14,0.00,FTFeed
2011-10-24,120.84,120.84,120.84,120.84,0.00,FTFeed
2011-10-21,120.31,120.31,120.31,120.31,0.00,FTFeed
2011-10-20,120.39,120.39,120.39,120.39,0.00,FTFeed
2011-10-19,120.2,120.2,120.2,120.2,0.00,FTFeed
2011-10-18,119.87,119.87,119.87,119.87,0.00,FTFeed
2011-10-17,120.02,120.02,120.02,120.02,0.00,FTFeed
2011-10-14,119.22,119.22,119.22,119.22,0.00,FTFeed
2011-10-13,119.26,119.26,119.26,119.26,0.00,FTFeed
2011-10-12,118.43,118.43,118.43,118.43,0.00,FTFeed
2011-10-11,118.13,118.13,118.13,118.13,0.00,FTFeed
2011-10-10,117.88,117.88,117.88,117.88,0.00,FTFeed
2011-10-07,117.57,117.57,117.57,117.57,0.00,FTFeed
2011-10-06,117.49,117.49,117.49,117.49,0.00,FTFeed
2011-10-05,116.81,116.81,116.81,116.81,0.00,FTFeed
2011-10-04,117.33,117.33,117.33,117.33,0.00,FTFeed
2011-10-03,117.64,117.64,117.64,117.64,0.00,FTFeed
2011-09-30,120.25,120.25,120.25,120.25,0.00,FTFeed
2011-09-29,120.17,120.17,120.17,120.17,0.00,FTFeed
2011-09-28,120.31,120.31,120.31,120.31,0.00,FTFeed
2011-09-27,120.17,120.17,120.17,120.17,0.00,FTFeed
2011-09-26,120.05,120.05,120.05,120.05,0.00,FTFeed
2011-09-23,120.45,120.45,120.45,120.45,0.00,FTFeed
2011-09-22,120.97,120.97,120.97,120.97,0.00,FTFeed
2011-09-21,121.5,121.5,121.5,121.5,0.00,FTFeed
2011-09-20,121.46,121.46,121.46,121.46,0.00,FTFeed
2011-09-19,121.59,121.59,121.59,121.59,0.00,FTFeed
2011-09-16,121.28,121.28,121.28,121.28,0.00,FTFeed
2011-09-15,120.81,120.81,120.81,120.81,0.00,FTFeed
2011-09-14,120.89,120.89,120.89,120.89,0.00,FTFeed
2011-09-13,120.75,120.75,120.75,120.75,0.00,FTFeed
2011-09-12,121.07,121.07,121.07,121.07,0.00,FTFeed
2011-09-09,121.89,121.89,121.89,121.89,0.00,FTFeed
2011-09-08,121,121,121,121,0.00,FTFeed
2011-09-07,120.56,120.56,120.56,120.56,0.00,FTFeed
2011-09-06,120.73,120.73,120.73,120.73,0.00,FTFeed
2011-09-05,122.18,122.18,122.18,122.18,0.00,FTFeed
2011-09-02,121.97,121.97,121.97,121.97,0.00,FTFeed
2011-09-01,121.89,121.89,121.89,121.89,0.00,FTFeed
2011-08-31,121.46,121.46,121.46,121.46,0.00,FTFeed
2011-08-30,120.74,120.74,120.74,120.74,0.00,FTFeed
2011-08-26,120.65,120.65,120.65,120.65,0.00,FTFeed
2011-08-25,120.7,120.7,120.7,120.7,0.00,FTFeed
2011-08-24,121.09,121.09,121.09,121.09,0.00,FTFeed
2011-08-23,121.36,121.36,121.36,121.36,0.00,FTFeed
2011-08-22,121.6,121.6,121.6,121.6,0.00,FTFeed
2011-08-19,121.87,121.87,121.87,121.87,0.00,FTFeed
2011-08-18,122.67,122.67,122.67,122.67,0.00,FTFeed
2011-08-17,122.07,122.07,122.07,122.07,0.00,FTFeed
2011-08-16,121.79,121.79,121.79,121.79,0.00,FTFeed
2011-08-15,121.49,121.49,121.49,121.49,0.00,FTFeed
2011-08-12,121.02,121.02,121.02,121.02,0.00,FTFeed
2011-08-11,121.26,121.26,121.26,121.26,0.00,FTFeed
2011-08-10,121.89,121.89,121.89,121.89,0.00,FTFeed
2011-08-09,120.79,120.79,120.79,120.79,0.00,FTFeed
2011-08-08,122.73,122.73,122.73,122.73,0.00,FTFeed
2011-08-05,123.07,123.07,123.07,123.07,0.00,FTFeed
2011-08-04,123.94,123.94,123.94,123.94,0.00,FTFeed
2011-08-03,124.03,124.03,124.03,124.03,0.00,FTFeed
2011-08-02,124.3,124.3,124.3,124.3,0.00,FTFeed
2011-08-01,124.02,124.02,124.02,124.02,0.00,FTFeed
2011-07-29,123.92,123.92,123.92,123.92,0.00,FTFeed
2011-07-28,123.76,123.76,123.76,123.76,0.00,FTFeed
2011-07-27,123.68,123.68,123.68,123.68,0.00,FTFeed
2011-07-26,123.5,123.5,123.5,123.5,0.00,FTFeed
2011-07-25,123.49,123.49,123.49,123.49,0.00,FTFeed
2011-07-22,122.89,122.89,122.89,122.89,0.00,FTFeed
2011-07-21,122.91,122.91,122.91,122.91,0.00,FTFeed
2011-07-20,122.84,122.84,122.84,122.84,0.00,FTFeed
2011-07-19,122.78,122.78,122.78,122.78,0.00,FTFeed
2011-07-18,123.07,123.07,123.07,123.07,0.00,FTFeed
2011-07-15,122.95,122.95,122.95,122.95,0.00,FTFeed
2011-07-14,122.99,122.99,122.99,122.99,0.00,FTFeed
2011-07-13,122.96,122.96,122.96,122.96,0.00,FTFeed
2011-07-12,123.27,123.27,123.27,123.27,0.00,FTFeed
2011-07-11,123.33,123.33,123.33,123.33,0.00,FTFeed
2011-07-08,122.95,122.95,122.95,122.95,0.00,FTFeed
2011-07-07,122.79,122.79,122.79,122.79,0.00,FTFeed
2011-07-06,122.82,122.82,122.82,122.82,0.00,FTFeed
2011-07-05,122.57,122.57,122.57,122.57,0.00,FTFeed
2011-07-04,122.48,122.48,122.48,122.48,0.00,FTFeed
2011-07-01,122.25,122.25,122.25,122.25,0.00,FTFeed
2011-06-30,122.12,122.12,122.12,122.12,0.00,FTFeed
2011-06-29,121.58,121.58,121.58,121.58,0.00,FTFeed
2011-06-28,121.93,121.93,121.93,121.93,0.00,FTFeed
2011-06-27,122.13,122.13,122.13,122.13,0.00,FTFeed
2011-06-24,122.28,122.28,122.28,122.28,0.00,FTFeed
2011-06-23,122.35,122.35,122.35,122.35,0.00,FTFeed
2011-06-22,122.42,122.42,122.42,122.42,0.00,FTFeed
2011-06-21,122.03,122.03,122.03,122.03,0.00,FTFeed
2011-06-20,122.07,122.07,122.07,122.07,0.00,FTFeed
2011-06-17,121.9,121.9,121.9,121.9,0.00,FTFeed
2011-06-16,122.04,122.04,122.04,122.04,0.00,FTFeed
2011-06-15,122.31,122.31,122.31,122.31,0.00,FTFeed
2011-06-14,122.19,122.19,122.19,122.19,0.00,FTFeed
2011-06-13,122.3,122.3,122.3,122.3,0.00,FTFeed
2011-06-10,122.48,122.48,122.48,122.48,0.00,FTFeed
2011-06-09,122.33,122.33,122.33,122.33,0.00,FTFeed
2011-06-08,122.35,122.35,122.35,122.35,0.00,FTFeed
2011-06-07,122.47,122.47,122.47,122.47,0.00,FTFeed
2011-06-06,122.57,122.57,122.57,122.57,0.00,FTFeed
2011-06-03,122.74,122.74,122.74,122.74,0.00,FTFeed
2011-06-02,122.89,122.89,122.89,122.89,0.00,FTFeed
2011-06-01,122.94,122.94,122.94,122.94,0.00,FTFeed
2011-05-31,122.75,122.75,122.75,122.75,0.00,FTFeed
2011-05-27,122.71,122.71,122.71,122.71,0.00,FTFeed
2011-05-26,122.69,122.69,122.69,122.69,0.00,FTFeed
2011-05-25,122.69,122.69,122.69,122.69,0.00,FTFeed
2011-05-24,122.69,122.69,122.69,122.69,0.00,FTFeed
2011-05-23,122.87,122.87,122.87,122.87,0.00,FTFeed
2011-05-20,122.93,122.93,122.93,122.93,0.00,FTFeed
2011-05-19,122.72,122.72,122.72,122.72,0.00,FTFeed
2011-05-18,122.87,122.87,122.87,122.87,0.00,FTFeed
2011-05-17,122.76,122.76,122.76,122.76,0.00,FTFeed
2011-05-16,122.89,122.89,122.89,122.89,0.00,FTFeed
2011-05-13,122.82,122.82,122.82,122.82,0.00,FTFeed
2011-05-12,122.74,122.74,122.74,122.74,0.00,FTFeed
2011-05-11,122.6,122.6,122.6,122.6,0.00,FTFeed
2011-05-10,122.82,122.82,122.82,122.82,0.00,FTFeed
2011-05-09,122.68,122.68,122.68,122.68,0.00,FTFeed
2011-05-06,122.57,122.57,122.57,122.57,0.00,FTFeed
2011-05-05,122.72,122.72,122.72,122.72,0.00,FTFeed
2011-05-04,122.73,122.73,122.73,122.73,0.00,FTFeed
2011-05-03,122.61,122.61,122.61,122.61,0.00,FTFeed
2011-04-28,122.06,122.06,122.06,122.06,0.00,FTFeed
2011-04-27,121.97,121.97,121.97,121.97,0.00,FTFeed
2011-04-26,121.93,121.93,121.93,121.93,0.00,FTFeed
2011-04-21,121.65,121.65,121.65,121.65,0.00,FTFeed
2011-04-20,121.49,121.49,121.49,121.49,0.00,FTFeed
2011-04-19,121.28,121.28,121.28,121.28,0.00,FTFeed
2011-04-18,121.46,121.46,121.46,121.46,0.00,FTFeed
2011-04-15,121.22,121.22,121.22,121.22,0.00,FTFeed
2011-04-14,121.13,121.13,121.13,121.13,0.00,FTFeed
2011-04-13,121.04,121.04,121.04,121.04,0.00,FTFeed
2011-04-12,121.07,121.07,121.07,121.07,0.00,FTFeed
2011-04-11,120.87,120.87,120.87,120.87,0.00,FTFeed
2011-04-08,120.82,120.82,120.82,120.82,0.00,FTFeed
2011-04-07,120.75,120.75,120.75,120.75,0.00,FTFeed
2011-04-06,120.74,120.74,120.74,120.74,0.00,FTFeed
2011-04-05,120.6,120.6,120.6,120.6,0.00,FTFeed
2011-04-04,120.57,120.57,120.57,120.57,0.00,FTFeed
2011-04-01,120.31,120.31,120.31,120.31,0.00,FTFeed
2011-03-31,123.04,123.04,123.04,123.04,0.00,FTFeed
2011-03-30,122.9,122.9,122.9,122.9,0.00,FTFeed
2011-03-29,123.09,123.09,123.09,123.09,0.00,FTFeed
2011-03-28,122.93,122.93,122.93,122.93,0.00,FTFeed
2011-03-25,123.02,123.02,123.02,123.02,0.00,FTFeed
2011-03-24,122.92,122.92,122.92,122.92,0.00,FTFeed
2011-03-23,122.89,122.89,122.89,122.89,0.00,FTFeed
2011-03-22,122.7,122.7,122.7,122.7,0.00,FTFeed
2011-03-21,122.85,122.85,122.85,122.85,0.00,FTFeed
2011-03-18,122.53,122.53,122.53,122.53,0.00,FTFeed
2011-03-17,122.27,122.27,122.27,122.27,0.00,FTFeed
2011-03-16,122.42,122.42,122.42,122.42,0.00,FTFeed
2011-03-15,122.66,122.66,122.66,122.66,0.00,FTFeed
2011-03-14,122.55,122.55,122.55,122.55,0.00,FTFeed
2011-03-11,122.63,122.63,122.63,122.63,0.00,FTFeed
2011-03-10,122.57,122.57,122.57,122.57,0.00,FTFeed
2011-03-09,122.49,122.49,122.49,122.49,0.00,FTFeed
2011-03-08,122.55,122.55,122.55,122.55,0.00,FTFeed
2011-03-07,122.48,122.48,122.48,122.48,0.00,FTFeed
2011-03-04,122.63,122.63,122.63,122.63,0.00,FTFeed
2011-03-03,122.52,122.52,122.52,122.52,0.00,FTFeed
2011-03-02,122.6,122.6,122.6,122.6,0.00,FTFeed
2011-03-01,122.73,122.73,122.73,122.73,0.00,FTFeed
2011-02-28,122.6,122.6,122.6,122.6,0.00,FTFeed
2011-02-25,122.36,122.36,122.36,122.36,0.00,FTFeed
2011-02-24,122.37,122.37,122.37,122.37,0.00,FTFeed
2011-02-23,122.23,122.23,122.23,122.23,0.00,FTFeed
2011-02-22,122.38,122.38,122.38,122.38,0.00,FTFeed
2011-02-21,122.3,122.3,122.3,122.3,0.00,FTFeed
2011-02-18,122.09,122.09,122.09,122.09,0.00,FTFeed
2011-02-17,121.9,121.9,121.9,121.9,0.00,FTFeed
2011-02-16,121.79,121.79,121.79,121.79,0.00,FTFeed
2011-02-15,121.53,121.53,121.53,121.53,0.00,FTFeed
2011-02-14,121.59,121.59,121.59,121.59,0.00,FTFeed
2011-02-11,121.51,121.51,121.51,121.51,0.00,FTFeed
2011-02-10,121.53,121.53,121.53,121.53,0.00,FTFeed
2011-02-09,121.54,121.54,121.54,121.54,0.00,FTFeed
2011-02-08,121.5,121.5,121.5,121.5,0.00,FTFeed
2011-02-07,121.26,121.26,121.26,121.26,0.00,FTFeed
2011-02-04,121.35,121.35,121.35,121.35,0.00,FTFeed
2011-02-03,121.25,121.25,121.25,121.25,0.00,FTFeed
2011-02-02,121.44,121.44,121.44,121.44,0.00,FTFeed
2011-02-01,121.18,121.18,121.18,121.18,0.00,FTFeed
2011-01-31,121.19,121.19,121.19,121.19,0.00,FTFeed
2011-01-28,121.29,121.29,121.29,121.29,0.00,FTFeed
2011-01-27,121.24,121.24,121.24,121.24,0.00,FTFeed
2011-01-26,121.47,121.47,121.47,121.47,0.00,FTFeed
2011-01-25,121.73,121.73,121.73,121.73,0.00,FTFeed
2011-01-24,121.12,121.12,121.12,121.12,0.00,FTFeed
2011-01-21,120.74,120.74,120.74,120.74,0.00,FTFeed
2011-01-20,120.97,120.97,120.97,120.97,0.00,FTFeed
2011-01-19,121.01,121.01,121.01,121.01,0.00,FTFeed
2011-01-18,120.98,120.98,120.98,120.98,0.00,FTFeed
2011-01-17,121.05,121.05,121.05,121.05,0.00,FTFeed
2011-01-14,120.84,120.84,120.84,120.84,0.00,FTFeed
2011-01-13,120.81,120.81,120.81,120.81,0.00,FTFeed
2011-01-12,120.55,120.55,120.55,120.55,0.00,FTFeed
2011-01-11,120.64,120.64,120.64,120.64,0.00,FTFeed
2011-01-10,120.55,120.55,120.55,120.55,0.00,FTFeed
2011-01-07,120.63,120.63,120.63,120.63,0.00,FTFeed
2011-01-06,120.79,120.79,120.79,120.79,0.00,FTFeed
2011-01-05,121.1,121.1,121.1,121.1,0.00,FTFeed
